GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Syndrome,manager,Manager,0,96,0,4,0,22,0,6,0,4
Syndrome,domain,Movie,38,18,0,0,17,7,11,1,11,1
